sentence,value,temperature,domain
Patients with gouty arthritis who receive colchicine for acute flare treatment often experience muscle spasm as a dose‑dependent adverse effect.,-19.125,0.6,Disease
"Patients chronically infected with hepatitis C virus often develop gouty arthritis, and treatment with the anti‑inflammatory drug colchicine can alleviate the associated muscle spasm.",-17.5,0.6,Disease
Patients diagnosed with gouty arthritis who are chronically infected with hepatitis C virus often experience severe muscle spasms that worsen their overall disease burden.,-22.25,0.6,Disease
The use of colchicine in patients with gouty arthritis markedly reduces the frequency of acute flares but may exacerbate muscle spasm in those chronically infected with hepatitis C virus.,-18.875,0.6,Disease
"The chemotherapeutic agent cisplatin, while effective against hepatocellular carcinoma, can induce nephrotoxicity that may exacerbate pre‑existing gouty arthritis by promoting uric acid retention.",-23.875,0.6,Disease
The disease‐specific drug tacrolimus ameliorates hepatitis B virus–induced hepatic inflammation but may precipitate nephrotoxic side effects in patients with chronic kidney disease.,-39.25,0.6,Disease
"Cisplatin administration exacerbated the nephrotoxicity in patients with chronic hepatitis C virus infection, leading to a rapid decline in renal function and precipitating muscle spasm episodes.",-25.25,0.6,Disease
Caspase‑3 inhibition by the novel compound N‑(4‑hydroxy‑3‑methylphenyl)‑2‑(1‑piperidinyl)‑2‑oxo‑1‑(4‑phenyl)‑1‑(3‑methyl‑1‑piperazinyl)‑3‑oxo‑3‑(4‑(4‑fluorophenyl)‑4‑oxo‑4‑(4‑phenyl‑1‑piperazin,-79.5,0.6,Disease
"Cimetidine administration markedly reduced the severity of gouty arthritis in patients chronically infected with hepatitis C virus, yet it concurrently exacerbated muscle spasm and precipitated behavioral deterioration in a subset of those with underlying autism.",-31.875,0.6,Disease
Treatment of HBV‑infected patients with the antiviral entecavir has been shown to reduce the risk of developing gouty arthritis while also ameliorating muscle spasm symptoms associated with chronic viral infection.,-27.0,0.6,Disease
