sentence,value,temperature,domain
"The novel antiviral drug remdesivir markedly reduced viral load in patients with HBV mono-infected cirrhosis, thereby preventing progression to acute liver failure.",-18.5,0.01,Disease
"The chemotherapeutic agent cisplatin, while effective against ovarian carcinoma, can induce acute nephrotoxicity that manifests as hematuria and hemoptysis in patients with pre‑existing viral hepatitis B infection.",-22.0,0.01,Disease
"The combination of cisplatin with the novel anti‑angiogenic agent bevacizumab markedly reduced tumor‑related hemoptysis in patients with advanced non‑small‑cell lung cancer, but also precipitated severe hypertension and proteinuria, underscoring the need for vigilant cardiovascular monitoring during therapy.",-31.625,0.01,Disease
"Elevated serum alanine aminotransferase levels in patients with HBV mono‑infected chronic hepatitis were markedly reduced after a single dose of tenofovir disoproxil fumarate, indicating its potent antiviral activity against viral hepatitis.",-25.625,0.01,Disease
"Elevating serum levels of the antiviral drug ribavirin in patients with HBV mono-infected chronic hepatitis C exacerbated their underlying viral hepatitis, leading to increased hepatic inflammation and hemoptysis.",-34.75,0.01,Disease
Elevators with a high‑frequency vibration protocol were shown to reduce acute pain in patients with valvular heart disease while simultaneously lowering the incidence of hemoptysis in those with HBV mono‑infected cirrhosis.,-39.25,0.01,Disease
"Caspofungin administration markedly reduced the incidence of invasive aspergillosis in patients with acute myeloid leukemia undergoing induction chemotherapy, thereby lowering the risk of hemoptysis and improving overall survival.",-22.375,0.01,Disease
"Cisplatin administration in patients with HBV mono‑infected liver disease exacerbated hepatic injury, leading to acute pain and hemoptysis as a result of drug‑induced hepatotoxicity.",-20.25,0.01,Disease
"Captopril administration in patients with valvular heart disease markedly reduced the incidence of hemoptysis, suggesting a protective effect against pulmonary hemorrhage.",-19.375,0.01,Disease
"In patients with HBV mono‑infected cirrhosis, the administration of the antiviral drug tenofovir disoproxil fumarate markedly reduces the incidence of hepatic decompensation and improves survival, yet it can also precipitate acute renal failure in a subset of individuals with pre‑existing chronic kidney disease.",-29.875,0.01,Disease
"In a randomized trial, patients with HBV mono‑infected chronic hepatitis who received the antiviral drug entecavir experienced a significant reduction in viral load and a lower incidence of acute liver failure compared with those treated with lamivudine.",-24.125,0.01,Disease
"In HBV mono‑infected patients, the administration of the antiviral drug entecavir markedly reduces viral replication, thereby preventing the progression to cirrhosis and the associated valvular heart disease that can arise from chronic liver dysfunction.",-25.375,0.01,Disease
